Performing system checks...

System check identified no issues (0 silenced).
November 02, 2023 - 02:06:01
Django version 4.2.6, using settings 'mysite.settings'
Starting development server at http://0.0.0.0:8000/
Quit the server with CONTROL-C.

venta ejecutada - Precio: 15325.25
venta ejecutada - SL: 15330.0
venta ejecutada - TK: 15320.5
venta ejecutada - Precio: 15332.75
venta ejecutada - SL: 15341.25
venta ejecutada - TK: 15324.25
compra ejecutada - Precio: 15344.75
compra ejecutada - SL: 15339.5
compra ejecutada - TK: 15350.0
compra ejecutada - Precio: 15346.0
compra ejecutada - SL: 15343.25
compra ejecutada - TK: 15348.75
venta ejecutada - Precio: 15343.0
venta ejecutada - SL: 15351.25
venta ejecutada - TK: 15334.75
venta ejecutada - Precio: 15334.0
venta ejecutada - SL: 15342.5
venta ejecutada - TK: 15325.5
venta ejecutada - Precio: 15348.25
venta ejecutada - SL: 15355.0
venta ejecutada - TK: 15341.5
venta ejecutada - Precio: 15354.25
venta ejecutada - SL: 15358.25
venta ejecutada - TK: 15350.25
compra ejecutada - Precio: 15341.0
compra ejecutada - SL: 15335.0
compra ejecutada - TK: 15347.0
compra ejecutada - Precio: 15334.75
compra ejecutada - SL: 15325.25
compra ejecutada - TK: 15344.25
compra ejecutada - Precio: 15322.75
compra ejecutada - SL: 15308.75
compra ejecutada - TK: 15336.75
compra ejecutada - Precio: 15319.0
compra ejecutada - SL: 15307.0
compra ejecutada - TK: 15331.0
compra ejecutada - Precio: 15293.75
compra ejecutada - SL: 15286.0
compra ejecutada - TK: 15301.5
compra ejecutada - Precio: 15299.0
compra ejecutada - SL: 15283.5
compra ejecutada - TK: 15314.5
venta ejecutada - Precio: 15310.5
venta ejecutada - SL: 15325.5
venta ejecutada - TK: 15295.5
venta ejecutada - Precio: 15328.5
venta ejecutada - SL: 15330.25
venta ejecutada - TK: 15326.75
compra ejecutada - Precio: 15325.5
compra ejecutada - SL: 15322.0
compra ejecutada - TK: 15329.0
venta ejecutada - Precio: 15333.75
venta ejecutada - SL: 15335.75
venta ejecutada - TK: 15331.75
venta ejecutada - Precio: 15334.5
venta ejecutada - SL: 15338.5
venta ejecutada - TK: 15330.5
venta ejecutada - Precio: 15338.75
venta ejecutada - SL: 15342.5
venta ejecutada - TK: 15335.0
venta ejecutada - Precio: 15353.5
venta ejecutada - SL: 15360.0
venta ejecutada - TK: 15347.0
