2992023 180000;14893.75;14893.75;14891.25;14891.5;191
2992023 175900;14895.5;14895.75;14892.5;14894.25;94
2992023 175800;14897;14897;14895;14895.5;51
2992023 175700;14898.5;14899.25;14897;14897;38
2992023 175600;14896.75;14899.25;14896.75;14899;110
2992023 175500;14897.5;14897.5;14895.75;14896.75;59
2992023 175400;14898.75;14899;14897.25;14897.5;43
2992023 175300;14900.25;14900.5;14898.5;14898.75;50
2992023 175200;14898;14900.25;14896.75;14900;87
2992023 175100;14899.5;14899.5;14897;14897.75;62
2992023 175000;14897;14899.25;14896.75;14899.25;74
2992023 174900;14897.5;14898.25;14896.25;14897;71
2992023 174800;14899.5;14900;14897.75;14897.75;85
2992023 174700;14900.5;14900.75;14898.75;14899.75;111
2992023 174600;14900;14901.25;14900;14900.5;72
2992023 174500;14901.25;14901.75;14900.25;14900.25;73
2992023 174400;14900.75;14901.25;14900.5;14901;38
2992023 174300;14900.25;14901;14900;14900.5;104
2992023 174200;14900.75;14901;14900;14900.25;47
2992023 174100;14898;14901;14898;14900.75;135
2992023 174000;14899;14899;14897.25;14897.5;87
2992023 173900;14899.25;14900;14898.75;14899.5;46
2992023 173800;14900.75;14900.75;14899.25;14899.75;63
2992023 173700;14900;14900.5;14899.25;14900.5;65
2992023 173600;14899.5;14900.25;14896.5;14899.75;163
2992023 173500;14902.5;14902.5;14899.5;14899.75;89
2992023 173400;14902.5;14904;14900.5;14902;80
2992023 173300;14899.75;14902.5;14899.75;14901.75;84
2992023 173200;14900.25;14900.25;14898.5;14899.25;127
2992023 173100;14900.5;14902;14900;14900;138
2992023 173000;14904.5;14904.75;14900;14900;162
2992023 172900;14904.75;14906.25;14904.25;14904.25;89
2992023 172800;14903.5;14906.25;14902.5;14904.5;242
2992023 172700;14901.75;14903.75;14901;14903;153
2992023 172600;14900.75;14902.25;14899.75;14901.75;112
2992023 172500;14900.5;14901.5;14899.5;14900.5;139
2992023 172400;14900.25;14901.25;14900;14900.5;69
2992023 172300;14899;14900.75;14898.5;14900;186
2992023 172200;14900;14901.25;14899;14899.25;107
2992023 172100;14896;14901;14895.75;14900;409
2992023 172000;14895.25;14896.5;14894.25;14896;182
2992023 171900;14895.5;14896.25;14894.5;14895;198
2992023 171800;14895;14895.75;14892.75;14895;152
2992023 171700;14892;14896.25;14891.75;14895;367
2992023 171600;14892.25;14892.5;14890.5;14891.75;154
2992023 171500;14892;14892.5;14889.25;14891.75;367
2992023 171400;14891.75;14892.5;14891.25;14891.75;284
2992023 171300;14890.5;14892.5;14889;14891.5;330
2992023 171200;14887.5;14892.75;14886.5;14890;356
2992023 171100;14891.25;14894.5;14886;14887;662
2992023 171000;14891.5;14893.75;14890.5;14891.5;361
2992023 170900;14891;14891.75;14889.75;14891.25;469
2992023 170800;14891.75;14892.5;14889.5;14890.75;544
2992023 170700;14886;14892;14885.75;14891.75;587
2992023 170600;14879.75;14887;14877.75;14885.5;939
2992023 170500;14878.25;14882;14876.75;14879.25;578
2992023 170400;14872;14879.25;14871.25;14878.25;608
2992023 170300;14872.25;14876.5;14870.25;14871.5;1539
2992023 170200;14867;14874;14866.75;14872.5;1253
2992023 170100;14868;14870;14850.25;14867.25;5872
2992023 170000;14866.25;14875.25;14860;14868.25;10441
2992023 165900;14874;14874.75;14864.75;14866;2607
2992023 165800;14857;14875.25;14856.5;14873.75;3305
2992023 165700;14854;14858;14840.25;14856.25;3230
2992023 165600;14886.25;14886.75;14845.5;14853.75;4766
2992023 165500;14902;14907;14872.75;14886.5;3927
2992023 165400;14926;14926.5;14900;14901.25;2750
2992023 165300;14922.25;14929;14919;14926.25;2721
2992023 165200;14913.5;14924.5;14906;14922;3146
2992023 165100;14889.5;14915.25;14882.75;14913.5;4583
2992023 165000;14881.5;14891;14879.25;14889.5;942
2992023 164900;14886.5;14891.25;14875.75;14881.75;1770
2992023 164800;14880.5;14889.75;14879.25;14886.5;1749
2992023 164700;14865.5;14880.75;14859.75;14879.5;1627
2992023 164600;14858.5;14866;14856;14865.75;1113
2992023 164500;14865;14869.75;14856;14858.5;1110
2992023 164400;14868;14871.5;14854.75;14864.75;1863
2992023 164300;14864.5;14872.5;14860.75;14868;1732
2992023 164200;14880;14881.75;14863.5;14865.25;1559
2992023 164100;14879;14881.5;14873.75;14880.5;879
2992023 164000;14873;14882.75;14866.75;14879.5;1812
2992023 163900;14873.75;14878.25;14870.75;14874.25;749
2992023 163800;14863.5;14877;14863.25;14873.5;980
2992023 163700;14865.75;14872;14862.5;14863.25;982
2992023 163600;14862.25;14866.75;14858;14865.75;1206
2992023 163500;14867;14869.5;14861.5;14862.25;968
2992023 163400;14871.5;14874;14862.75;14866.75;927
2992023 163300;14869.5;14879;14865;14872;1198
2992023 163200;14868.5;14874.75;14865.25;14869.25;993
2992023 163100;14877.25;14880;14865.25;14868.25;1213
2992023 163000;14881.5;14883.5;14874.75;14877.25;782
2992023 162900;14863.5;14883.5;14863.5;14881.75;1620
2992023 162800;14861.75;14870.75;14858;14862.75;1191
2992023 162700;14873.25;14875.5;14858.25;14862.25;2162
2992023 162600;14876.75;14878.5;14870;14873.25;997
2992023 162500;14881.75;14885.25;14874;14876.25;705
2992023 162400;14881;14886.25;14873.75;14882;915
2992023 162300;14879;14883;14874.25;14880.75;785
2992023 162200;14878.5;14885.25;14875.25;14877.75;780
2992023 162100;14884.25;14884.5;14875.5;14877.75;810
2992023 162000;14892.25;14894.5;14882.25;14884.25;944
2992023 161900;14876;14895.75;14875.75;14892;1217
2992023 161800;14879;14884.75;14874;14876.5;969
2992023 161700;14884.5;14885.25;14874.25;14878.5;849
2992023 161600;14879.75;14889.25;14878;14884.5;980
